818,372,6,80,53
16,822,1,25,23
472,327,6,80,53
341,559,6,20,80
902,184,17,68,22
10,398,6,22,80
680,22,17,79,25
478,350,17,22,23
379,783,17,53,79
838,641,6,53,79
720,880,17,23,53
917,475,17,53,53
575,52,17,68,22
882,49,6,53,53
857,34,89,25,53
897,814,89,80,20
603,191,17,22,22
817,489,6,23,23
681,901,17,443,80
788,938,17,68,22
249,789,6,80,80
659,401,6,68,80
365,413,17,443,23
854,761,17,20,22
346,480,17,443,53
770,36,17,80,443
57,71,17,443,443
812,169,6,25,22
238,34,17,443,80
404,562,1,80,80
458,726,6,25,23
937,852,17,443,68
358,470,6,53,22
558,869,6,53,80
704,918,1,53,23
691,460,6,23,22
190,767,17,53,20
610,227,17,443,25
632,170,6,443,80
985,426,6,23,25
703,632,1,25,53
779,547,6,80,25
407,609,17,53,79
110,329,6,53,23
884,826,17,79,68
816,169,6,25,25
445,527,6,68,20
967,884,17,80,23
355,131,6,79,22
267,675,17,80,25
889,259,6,80,23
989,15,17,25,53
563,745,17,53,80
91,786,6,22,20
320,362,6,80,25
990,416,6,23,22
505,192,17,80,68
351,786,6,80,20
982,7,17,23,53
528,845,17,25,25
116,546,6,80,80
205,920,1,53,25
617,704,17,20,53
246,499,6,22,443
862,190,17,80,53
212,500,17,53,25
722,576,6,79,80
826,984,6,20,80
390,99,17,22,53
404,225,17,20,68
250,1000,6,68,25
326,63,17,80,68
362,798,6,22,25
5,509,17,25,22
600,166,6,20,25
404,251,6,80,23
620,372,17,22,80
47,415,17,25,80
50,223,17,443,25
529,739,17,80,23
311,643,17,80,80
63,785,17,80,80
371,296,6,53,68
39,705,89,22,53
966,818,17,80,53
736,133,17,80,443
969,91,17,68,22
650,37,1,80,23
665,884,6,20,23
919,673,6,25,23
300,339,6,443,53
942,954,6,68,80
374,152,1,443,53
3,632,6,53,53
658,769,6,68,443
226,230,17,25,20
903,328,89,443,80
939,830,17,25,23
146,101,17,25,53
261,820,1,443,53
850,647,17,80,443
282,747,6,53,443
319,103,6,53,443
138,743,17,443,53
449,752,1,22,25
690,234,17,25,25
437,886,6,53,80
273,783,6,443,80
418,423,17,53,443
92,747,17,23,443
692,730,17,53,80
910,246,17,20,80
734,993,6,25,53
955,230,6,80,53
137,615,17,80,23
928,484,17,53,80
204,376,89,22,80
505,912,17,80,23
168,559,6,20,22
32,972,6,443,68
844,296,6,79,80
574,559,17,23,25
492,916,6,23,22
640,524,17,68,23
710,320,6,53,80
934,107,6,22,25
516,638,6,80,443
427,650,17,68,443
221,982,17,22,80
964,872,17,79,79
952,551,6,25,79
457,846,6,25,53
586,445,6,443,80
397,461,6,53,20
694,610,6,80,53
62,21,6,80,53
1756,533,17,53,80
68,998,6,53,68
738,355,1,443,25
480,683,1,80,80
136,833,6,80,80
184,496,6,80,80
233,201,17,22,25
366,53,17,22,53
829,722,6,443,53
168,482,6,443,443
98,928,6,20,20
782,173,17,23,53
810,442,17,68,22
816,101,6,443,80
615,88,17,53,53
668,985,17,79,25
190,179,17,22,80
581,468,1,79,25
572,210,6,80,22
162,596,1,443,68
448,609,17,80,20
120,717,17,20,20
748,665,6,23,22
438,839,6,79,20
2,703,6,79,53
205,161,1,80,443
270,83,17,53,443
337,445,17,79,79
136,956,6,443,53
22,931,17,80,53
127,843,17,443,20
58,789,6,80,80
701,985,6,53,25
503,129,6,443,79
428,891,17,20,23
366,299,6,53,53
687,906,6,23,80
340,329,6,80,25
17,334,17,20,443
93,674,6,53,80
724,675,6,80,23
259,471,6,20,23
265,713,6,443,80
848,78,17,25,68
121,718,6,25,25
243,588,6,53,20
739,151,17,53,53
431,754,17,53,53
933,856,17,22,53
597,476,17,53,79
288,217,1,25,80
551,328,6,68,22
644,725,6,53,20
943,525,6,23,443
965,276,6,53,68
206,806,6,68,23
903,667,89,20,20
456,449,6,80,79
652,206,17,443,20
775,628,17,53,23
637,915,17,68,22
608,210,89,80,22
384,879,17,79,53
202,414,17,53,80
998,69,17,80,80
133,266,89,25,79
995,509,17,443,53
282,796,17,443,23
177,41,17,80,23
125,805,17,20,80
459,270,17,25,53
492,454,17,68,23
857,333,17,53,53
299,231,6,79,53
19,193,17,23,443
308,300,6,79,80
115,463,6,443,443
865,521,6,20,23
16,206,1,80,25
376,550,17,80,53
302,78,17,80,443
484,650,17,20,23
662,330,17,25,80
358,640,17,80,53
168,361,17,53,80
261,909,89,53,23
479,156,6,22,23
794,998,6,20,443
605,693,6,25,443
673,272,17,80,80
497,527,6,23,80
950,765,89,79,23
381,465,6,53,23
248,712,6,80,53
276,218,17,443,23
360,876,6,53,443
501,261,6,23,79
828,728,17,23,25
640,693,6,443,22
705,694,17,25,80
310,958,6,23,79
968,394,6,53,79
559,108,6,20,25
461,568,17,80,53
725,584,6,25,68
376,434,17,80,53
318,148,6,53,53
370,243,6,53,53
645,248,17,443,23
105,270,17,79,20
983,861,89,20,79
596,822,17,22,22
938,422,1,80,80
99,337,1,25,80
883,655,6,53,53
482,828,6,68,79
564,585,1,23,25
509,834,6,22,22
928,800,6,23,53
979,311,6,23,25
117,688,17,53,53
87,384,17,79,53
152,659,6,22,443
618,325,17,53,23
818,145,17,80,23
495,759,6,20,23
528,184,89,79,443
899,406,17,25,20
278,722,89,80,22
287,423,1,22,25
903,665,17,20,80
158,756,6,23,23
324,816,17,20,443
997,61,1,443,20
419,927,17,53,53
422,895,17,53,20
105,659,17,23,79
260,152,17,80,23
385,243,6,443,20
249,647,6,53,53
768,762,17,22,80
444,793,6,53,25
120,41,17,80,20
287,285,6,25,20
473,483,6,80,25
745,832,1,20,80
550,920,17,20,53
593,606,6,53,80
783,415,6,25,68
582,682,1,23,53
921,578,6,23,53
83,956,6,22,79
499,13,17,20,443
330,546,17,80,23
556,608,17,20,23
101,971,17,53,22
66,699,17,80,53
507,613,6,25,23
58,25,17,22,80
781,182,17,443,53
730,978,17,25,443
709,287,6,22,80
722,89,1,80,25
200,243,6,20,80
285,776,17,80,25
860,847,6,79,80
273,452,17,79,20
895,445,17,80,443
87,296,6,53,22
851,452,17,68,20
134,712,6,80,79
673,222,6,80,80
781,806,17,80,25
679,904,1,53,68
510,651,6,25,20
529,982,1,53,53
209,573,17,20,25
474,211,17,68,80
975,426,89,80,443
442,674,1,23,23
420,564,1,25,53
807,323,1,22,53
486,917,6,80,25
21,473,17,20,23
782,118,6,20,53
864,293,17,53,80
261,613,17,80,20
265,51,6,79,23
934,430,1,20,53
841,479,6,53,53
