742,281,17,53,22,normal
241,591,6,53,53,normal
537,732,17,23,22,normal
247,200,6,20,23,normal
483,845,1,53,23,normal
285,118,6,80,25,normal
360,587,1,23,80,normal
452,805,17,20,53,normal
565,882,1,25,22,normal
370,440,6,53,80,normal
693,183,17,443,22,normal
375,398,6,20,443,normal
838,110,6,53,53,normal
849,280,6,68,25,normal
53,318,6,22,80,normal
492,637,17,22,80,normal
27,184,89,53,25,normal
449,804,6,20,80,normal
340,372,17,443,80,normal
159,60,1,25,20,normal
100,787,6,80,20,normal
17,770,6,25,22,normal
787,109,1,25,53,normal
507,408,1,20,80,normal
54,34,6,22,443,normal
644,735,17,25,25,normal
287,197,17,25,20,normal
785,424,17,20,80,normal
557,445,6,20,25,normal
709,998,1,80,22,normal
505,76,1,22,20,normal
63,633,17,53,80,normal
137,347,17,53,53,normal
367,516,17,20,53,normal
949,944,17,22,443,normal
899,20,6,25,23,normal
613,299,89,23,443,normal
449,812,17,20,20,normal
764,804,17,443,22,normal
928,410,6,25,80,normal
451,353,17,443,80,normal
82,717,6,23,68,normal
271,909,17,20,53,normal
190,163,17,20,23,normal
5,452,6,80,80,normal
75,634,6,25,53,normal
535,657,1,25,25,normal
710,211,17,53,80,normal
180,106,6,80,80,normal
149,165,17,80,20,normal
377,919,17,80,23,normal
612,18,1,443,22,normal
120,312,1,23,80,normal
290,324,6,53,53,normal
851,633,17,80,23,normal
378,441,17,53,79,normal
481,372,17,80,23,normal
396,173,6,79,443,normal
334,957,17,20,22,normal
172,441,89,23,53,normal
920,336,6,80,53,normal
243,522,17,25,443,normal
960,679,6,80,22,normal
509,387,17,443,22,normal
312,1,17,23,22,normal
715,954,6,53,53,normal
526,83,6,25,20,normal
162,964,6,53,20,normal
627,166,6,53,22,normal
120,458,6,53,23,normal
1000,263,17,23,23,normal
809,523,6,53,22,normal
97,674,17,443,23,normal
884,904,6,22,22,normal
591,415,6,53,23,normal
861,943,17,443,20,normal
699,289,1,443,80,normal
705,496,17,80,53,normal
604,874,17,23,53,normal
704,942,17,25,22,normal
156,703,6,80,53,normal
879,176,6,68,443,normal
558,373,1,53,80,normal
457,122,6,20,25,normal
595,264,17,22,20,normal
157,856,17,79,53,normal
623,198,6,443,25,normal
408,49,6,22,20,normal
552,134,6,443,443,normal
942,762,17,443,53,normal
566,268,1,25,20,normal
42,28,17,68,79,normal
607,218,17,23,79,normal
994,743,6,53,53,normal
532,661,17,443,23,normal
16,265,6,53,22,normal
966,580,89,23,80,normal
327,262,17,22,80,normal
774,496,6,53,25,normal
980,641,6,80,80,normal
568,117,1,23,20,normal
101,513,6,68,53,normal
839,955,17,80,80,normal
638,819,17,79,22,normal
812,981,17,80,53,normal
704,378,17,443,80,normal
952,692,17,20,53,normal
383,925,17,23,20,normal
137,922,17,25,20,normal
